Project Name,Package Name,Type Name,Method Name,Code Smell
cmd,ghidra.app.cmd.analysis,SharedReturnAnalysisCmd,applyTo,Complex Conditional
cmd,ghidra.app.cmd.analysis,SharedReturnAnalysisCmd,applyTo,Complex Conditional
cmd,ghidra.app.cmd.analysis,SharedReturnAnalysisCmd,applyTo,Complex Method
cmd,ghidra.app.cmd.analysis,SharedReturnAnalysisCmd,applyTo,Empty catch clause
cmd,ghidra.app.cmd.analysis,SharedReturnAnalysisCmd,applyTo,Long Method
cmd,ghidra.app.cmd.analysis,SharedReturnAnalysisCmd,processFunctionJumpReferences,Complex Method
cmd,ghidra.app.cmd.comments,CodeUnitInfoPasteCmd,setFunction,Complex Method
cmd,ghidra.app.cmd.comments,CodeUnitInfoPasteCmd,setFunction,Empty catch clause
cmd,ghidra.app.cmd.comments,CodeUnitInfoPasteCmd,setFunction,Empty catch clause
cmd,ghidra.app.cmd.comments,CodeUnitInfoPasteCmd,setFunction,Empty catch clause
cmd,ghidra.app.cmd.comments,CodeUnitInfoPasteCmd,findVar,Complex Conditional
cmd,ghidra.app.cmd.comments,CodeUnitInfoPasteCmd,setLabel,Complex Conditional
cmd,ghidra.app.cmd.comments,CodeUnitInfoPasteCmd,createSymbols,Long Parameter List
cmd,ghidra.app.cmd.comments,SetCommentsCmd,SetCommentsCmd,Long Parameter List
cmd,ghidra.app.cmd.data,CreateDataBackgroundCmd,createData,Long Parameter List
cmd,ghidra.app.cmd.data,CreateDataBackgroundCmd,createData,Magic Number
cmd,ghidra.app.cmd.data,CreateDataCmd,CreateDataCmd,Long Statement
cmd,ghidra.app.cmd.data,CreateDataCmd,CreateDataCmd,Long Statement
cmd,ghidra.app.cmd.data,CreateDataCmd,CreateDataCmd,Long Statement
cmd,ghidra.app.cmd.data,CreateDataInStructureBackgroundCmd,CreateDataInStructureBackgroundCmd,Long Parameter List
cmd,ghidra.app.cmd.data,CreateDataInStructureBackgroundCmd,applyTo,Complex Method
cmd,ghidra.app.cmd.data,CreateDataInStructureBackgroundCmd,applyTo,Long Statement
cmd,ghidra.app.cmd.data,CreateDataInStructureCmd,applyTo,Complex Method
cmd,ghidra.app.cmd.data,CreateStructureCmd,initializeStructureData,Long Statement
cmd,ghidra.app.cmd.disassemble,ArmDisassembleCommand,applyTo,Complex Method
cmd,ghidra.app.cmd.disassemble,ArmDisassembleCommand,applyTo,Magic Number
cmd,ghidra.app.cmd.disassemble,ArmDisassembleCommand,applyTo,Magic Number
cmd,ghidra.app.cmd.disassemble,ArmDisassembleCommand,applyTo,Magic Number
cmd,ghidra.app.cmd.disassemble,DisassembleCommand,DisassembleCommand,Long Identifier
cmd,ghidra.app.cmd.disassemble,DisassembleCommand,doDisassembly,Complex Conditional
cmd,ghidra.app.cmd.disassemble,DisassembleCommand,doDisassembly,Complex Method
cmd,ghidra.app.cmd.disassemble,DisassembleCommand,doDisassembly,Empty catch clause
cmd,ghidra.app.cmd.disassemble,DisassembleCommand,doDisassembly,Long Identifier
cmd,ghidra.app.cmd.disassemble,DisassembleCommand,doDisassembly,Long Statement
cmd,ghidra.app.cmd.disassemble,DisassembleCommand,doDisassembly,Magic Number
cmd,ghidra.app.cmd.disassemble,DisassembleCommand,analyzeIfNeeded,Complex Conditional
cmd,ghidra.app.cmd.disassemble,Hcs12DisassembleCommand,applyTo,Complex Method
cmd,ghidra.app.cmd.disassemble,MipsDisassembleCommand,applyTo,Complex Method
cmd,ghidra.app.cmd.disassemble,MipsDisassembleCommand,applyTo,Magic Number
cmd,ghidra.app.cmd.disassemble,MipsDisassembleCommand,applyTo,Magic Number
cmd,ghidra.app.cmd.disassemble,MipsDisassembleCommand,applyTo,Magic Number
cmd,ghidra.app.cmd.disassemble,PowerPCDisassembleCommand,applyTo,Complex Method
cmd,ghidra.app.cmd.disassemble,PowerPCDisassembleCommand,applyTo,Magic Number
cmd,ghidra.app.cmd.disassemble,PowerPCDisassembleCommand,applyTo,Magic Number
cmd,ghidra.app.cmd.disassemble,PowerPCDisassembleCommand,applyTo,Magic Number
cmd,ghidra.app.cmd.disassemble,X86_64DisassembleCommand,applyTo,Long Statement
cmd,ghidra.app.cmd.formats,AppleSingleDoubleBinaryAnalysisCommand,canApply,Empty catch clause
cmd,ghidra.app.cmd.formats,AppleSingleDoubleBinaryAnalysisCommand,markup,Magic Number
cmd,ghidra.app.cmd.formats,AppleSingleDoubleBinaryAnalysisCommand,markupCFM,Long Statement
cmd,ghidra.app.cmd.formats,AppleSingleDoubleBinaryAnalysisCommand,markupCFM,Magic Number
cmd,ghidra.app.cmd.formats,AppleSingleDoubleBinaryAnalysisCommand,markupResourceData,Magic Number
cmd,ghidra.app.cmd.formats,AppleSingleDoubleBinaryAnalysisCommand,markupResourceData,Magic Number
cmd,ghidra.app.cmd.formats,AppleSingleDoubleBinaryAnalysisCommand,markupResourceData,Magic Number
cmd,ghidra.app.cmd.formats,CoffArchiveBinaryAnalysisCommand,canApply,Empty catch clause
cmd,ghidra.app.cmd.formats,CoffBinaryAnalysisCommand,processStrings,Magic Number
cmd,ghidra.app.cmd.formats,ElfBinaryAnalysisCommand,processSectionHeaders,Complex Conditional
cmd,ghidra.app.cmd.formats,ElfBinaryAnalysisCommand,processSectionHeaders,Empty catch clause
cmd,ghidra.app.cmd.formats,ElfBinaryAnalysisCommand,processSectionHeaders,Long Statement
cmd,ghidra.app.cmd.formats,ElfBinaryAnalysisCommand,processSectionHeaders,Long Statement
cmd,ghidra.app.cmd.formats,ElfBinaryAnalysisCommand,processDynamic,Long Statement
cmd,ghidra.app.cmd.formats,ElfBinaryAnalysisCommand,processDynamic,Magic Number
cmd,ghidra.app.cmd.formats,ElfBinaryAnalysisCommand,addDynamicStringComment,Long Parameter List
cmd,ghidra.app.cmd.formats,ElfBinaryAnalysisCommand,addDynamicReference,Empty catch clause
cmd,ghidra.app.cmd.formats,MachoBinaryAnalysisCommand,canApply,Empty catch clause
cmd,ghidra.app.cmd.formats,MachoBinaryAnalysisCommand,analysisWorkerCallback,Long Statement
cmd,ghidra.app.cmd.formats,PefBinaryAnalysisCommand,processSectionData,Magic Number
cmd,ghidra.app.cmd.formats,PefBinaryAnalysisCommand,processLoaderExports,Complex Method
cmd,ghidra.app.cmd.formats,PefBinaryAnalysisCommand,processLoaderExports,Magic Number
cmd,ghidra.app.cmd.formats,PefBinaryAnalysisCommand,processLoaderExports,Magic Number
cmd,ghidra.app.cmd.formats,PefBinaryAnalysisCommand,processLoaderRelocations,Long Statement
cmd,ghidra.app.cmd.formats,PefBinaryAnalysisCommand,processImportedSymbols,Long Statement
cmd,ghidra.app.cmd.formats,PortableExecutableBinaryAnalysisCommand,canApply,Empty catch clause
cmd,ghidra.app.cmd.formats,PortableExecutableBinaryAnalysisCommand,canApply,Magic Number
cmd,ghidra.app.cmd.formats,PortableExecutableBinaryAnalysisCommand,processSymbols,Long Statement
cmd,ghidra.app.cmd.formats,PortableExecutableBinaryAnalysisCommand,processStringTable,Magic Number
cmd,ghidra.app.cmd.function,AddMemoryParameterCommand,AddMemoryParameterCommand,Long Parameter List
cmd,ghidra.app.cmd.function,AddMemoryVarCmd,AddMemoryVarCmd,Long Parameter List
cmd,ghidra.app.cmd.function,AddRegisterParameterCommand,AddRegisterParameterCommand,Long Parameter List
cmd,ghidra.app.cmd.function,AddRegisterVarCmd,AddRegisterVarCmd,Long Parameter List
cmd,ghidra.app.cmd.function,AddStackParameterCommand,AddStackParameterCommand,Long Parameter List
cmd,ghidra.app.cmd.function,AddStackVarCmd,AddStackVarCmd,Long Parameter List
cmd,ghidra.app.cmd.function,ApplyFunctionDataTypesCmd,ApplyFunctionDataTypesCmd,Long Parameter List
cmd,ghidra.app.cmd.function,ApplyFunctionDataTypesCmd,ApplyFunctionDataTypesCmd,Long Parameter List
cmd,ghidra.app.cmd.function,ApplyFunctionDataTypesCmd,applyTo,Empty catch clause
cmd,ghidra.app.cmd.function,ApplyFunctionDataTypesCmd,getSymbols,Complex Conditional
cmd,ghidra.app.cmd.function,ApplyFunctionDataTypesCmd,checkForSymbol,Long Parameter List
cmd,ghidra.app.cmd.function,ApplyFunctionDataTypesCmd,checkDoApplyFunctionDefinition,Complex Method
cmd,ghidra.app.cmd.function,ApplyFunctionDataTypesCmd,applyFunction,Long Statement
cmd,ghidra.app.cmd.function,ApplyFunctionDataTypesCmd,applyFunction,Long Statement
cmd,ghidra.app.cmd.function,ApplyFunctionSignatureCmd,ApplyFunctionSignatureCmd,Long Parameter List
cmd,ghidra.app.cmd.function,ApplyFunctionSignatureCmd,ApplyFunctionSignatureCmd,Long Statement
cmd,ghidra.app.cmd.function,ApplyFunctionSignatureCmd,ApplyFunctionSignatureCmd,Long Parameter List
cmd,ghidra.app.cmd.function,ApplyFunctionSignatureCmd,getCallingConvention,Complex Conditional
cmd,ghidra.app.cmd.function,ApplyFunctionSignatureCmd,updateStackPurgeSize,Complex Method
cmd,ghidra.app.cmd.function,ApplyFunctionSignatureCmd,updateStackPurgeSize,Magic Number
cmd,ghidra.app.cmd.function,ApplyFunctionSignatureCmd,setName,Long Statement
cmd,ghidra.app.cmd.function,CallDepthChangeInfo,CallDepthChangeInfo,Long Parameter List
cmd,ghidra.app.cmd.function,CallDepthChangeInfo,getCallChange,Empty catch clause
cmd,ghidra.app.cmd.function,CallDepthChangeInfo,getDepth,Empty catch clause
cmd,ghidra.app.cmd.function,CallDepthChangeInfo,getInstructionStackDepthChange,Complex Method
cmd,ghidra.app.cmd.function,CallDepthChangeInfo,getInstructionStackDepthChange,Long Method
cmd,ghidra.app.cmd.function,CallDepthChangeInfo,getInstructionStackDepthChange,Long Statement
cmd,ghidra.app.cmd.function,CallDepthChangeInfo,getInstructionStackDepthChange,Missing default
cmd,ghidra.app.cmd.function,CallDepthChangeInfo,followFlows,Complex Conditional
cmd,ghidra.app.cmd.function,CallDepthChangeInfo,followFlows,Complex Method
cmd,ghidra.app.cmd.function,CallDepthChangeInfo,followFlows,Empty catch clause
cmd,ghidra.app.cmd.function,CallDepthChangeInfo,followFlows,Magic Number
cmd,ghidra.app.cmd.function,CallDepthChangeInfo,followFlows,Magic Number
cmd,ghidra.app.cmd.function,CallDepthChangeInfo,evaluateContextBefore,Complex Conditional
cmd,ghidra.app.cmd.function,CallDepthChangeInfo,evaluateContextBefore,Empty catch clause
cmd,ghidra.app.cmd.function,CallDepthChangeInfo,getStackOffset,Complex Method
cmd,ghidra.app.cmd.function,CallDepthChangeInfo,getRegDepth,Magic Number
cmd,ghidra.app.cmd.function,CaptureFunctionDataTypesCmd,applyTo,Empty catch clause
cmd,ghidra.app.cmd.function,CreateFunctionCmd,CreateFunctionCmd,Long Parameter List
cmd,ghidra.app.cmd.function,CreateFunctionCmd,CreateFunctionCmd,Long Parameter List
cmd,ghidra.app.cmd.function,CreateFunctionCmd,applyTo,Complex Method
cmd,ghidra.app.cmd.function,CreateFunctionCmd,applyTo,Empty catch clause
cmd,ghidra.app.cmd.function,CreateFunctionCmd,createFunction,Complex Method
cmd,ghidra.app.cmd.function,CreateFunctionCmd,createFunction,Empty catch clause
cmd,ghidra.app.cmd.function,CreateFunctionCmd,createFunction,Long Parameter List
