Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
cmd,ghidra.app.cmd.analysis,SharedReturnAnalysisCmd,3,0,14,2,333,75,0,0,0.0,0,1
cmd,ghidra.app.cmd.comments,AppendCommentCmd,6,0,5,4,68,8,0,0,0.0,0,0
cmd,ghidra.app.cmd.comments,CodeUnitInfoPasteCmd,5,0,11,4,262,47,0,0,0.18181818181818182,0,0
cmd,ghidra.app.cmd.comments,SetCommentCmd,5,0,7,5,85,13,0,0,0.0,1,1
cmd,ghidra.app.cmd.comments,SetCommentsCmd,7,0,6,4,108,16,0,0,0.5,0,0
cmd,ghidra.app.cmd.data,AbstractCreateStructureCmd,4,0,11,4,89,11,2,0,0.18181818181818182,0,0
cmd,ghidra.app.cmd.data,CreateArrayCmd,5,0,4,4,60,5,0,0,0.5,0,0
cmd,ghidra.app.cmd.data,CreateArrayInStructureCmd,5,0,5,4,91,13,0,0,0.4,0,0
cmd,ghidra.app.cmd.data,CreateDataBackgroundCmd,6,0,5,4,98,13,0,0,0.0,0,0
cmd,ghidra.app.cmd.data,CreateDataCmd,6,0,8,8,79,8,0,0,0.0,0,0
cmd,ghidra.app.cmd.data,CreateDataInStructureBackgroundCmd,5,0,3,3,97,12,0,0,0.0,0,0
cmd,ghidra.app.cmd.data,CreateDataInStructureCmd,5,0,5,5,101,12,0,0,0.0,0,0
cmd,ghidra.app.cmd.data,CreateStringCmd,5,0,9,8,69,9,0,0,0.2222222222222222,2,1
cmd,ghidra.app.cmd.data,CreateStructureCmd,2,0,7,3,83,11,0,1,0.2857142857142857,0,0
cmd,ghidra.app.cmd.data,CreateStructureInStructureCmd,3,0,6,3,63,10,0,1,0.0,0,0
cmd,ghidra.app.cmd.data,RenameDataFieldCmd,3,0,4,4,37,5,0,0,0.5,0,0
cmd,ghidra.app.cmd.disassemble,ArmDisassembleCommand,1,0,5,5,83,14,0,1,0.6,0,0
cmd,ghidra.app.cmd.disassemble,DisassembleCommand,15,0,16,10,249,45,5,0,0.0,2,1
cmd,ghidra.app.cmd.disassemble,MyListener,1,0,2,1,11,3,0,0,0.0,0,0
cmd,ghidra.app.cmd.disassemble,Hcs12DisassembleCommand,1,0,5,5,82,14,0,1,0.6,0,0
cmd,ghidra.app.cmd.disassemble,MipsDisassembleCommand,1,0,6,6,85,15,0,1,0.5,0,0
cmd,ghidra.app.cmd.disassemble,PowerPCDisassembleCommand,1,0,6,6,85,15,0,1,0.5,0,0
cmd,ghidra.app.cmd.disassemble,SetFlowOverrideCmd,3,0,4,3,54,9,0,0,0.0,1,0
cmd,ghidra.app.cmd.disassemble,X86_64DisassembleCommand,1,0,7,7,85,15,0,1,0.42857142857142855,1,1
cmd,ghidra.app.cmd.equate,ClearEquateCmd,4,0,5,4,34,7,0,0,0.6,0,0
cmd,ghidra.app.cmd.equate,SetEquateCmd,6,0,6,5,65,8,0,0,0.3333333333333333,0,0
cmd,ghidra.app.cmd.formats,AppleSingleDoubleBinaryAnalysisCommand,1,0,18,7,231,43,0,0,0.2777777777777778,0,0
cmd,ghidra.app.cmd.formats,CoffArchiveBinaryAnalysisCommand,1,0,14,7,125,27,0,0,0.42857142857142855,0,0
cmd,ghidra.app.cmd.formats,CoffBinaryAnalysisCommand,1,0,16,7,193,39,0,0,0.375,0,0
cmd,ghidra.app.cmd.formats,ElfBinaryAnalysisCommand,1,0,18,7,288,45,0,0,0.2777777777777778,0,0
cmd,ghidra.app.cmd.formats,MachoBinaryAnalysisCommand,4,0,11,9,100,16,0,0,0.2727272727272727,0,0
cmd,ghidra.app.cmd.formats,PefBinaryAnalysisCommand,1,0,17,7,227,40,0,0,0.29411764705882354,0,1
cmd,ghidra.app.cmd.formats,PortableExecutableBinaryAnalysisCommand,1,0,14,7,149,28,0,0,0.35714285714285715,0,0
cmd,ghidra.app.cmd.function,AddFunctionTagCmd,3,0,4,4,33,5,0,0,0.5,0,0
cmd,ghidra.app.cmd.function,AddMemoryParameterCommand,3,0,3,2,24,3,0,1,0.6666666666666666,0,0
cmd,ghidra.app.cmd.function,AddMemoryVarCmd,7,0,5,5,80,7,0,0,0.4,0,0
cmd,ghidra.app.cmd.function,AddParameterCommand,5,0,6,4,71,10,3,0,0.3333333333333333,0,0
cmd,ghidra.app.cmd.function,AddRegisterParameterCommand,3,0,3,2,25,3,0,1,0.6666666666666666,0,0
cmd,ghidra.app.cmd.function,AddRegisterVarCmd,7,0,5,5,80,7,0,0,0.4,0,0
cmd,ghidra.app.cmd.function,AddStackParameterCommand,3,0,3,2,23,3,0,1,0.6666666666666666,0,0
